plantSp,animalSp,meanPIE,maxPIE,n_methods
Corema album,Dama dama,1.6944045071076835e-4,9.688149846485836e-5,1
Corema album,Phoenicurus phoenicurus,1.6944045071076835e-4,9.688149846485836e-5,1
Juniperus phoenicea,Apodemus/Mus,1.6944045071076835e-4,9.688149846485836e-5,1
Olea europaea,Curruca undata,1.6944045071076835e-4,9.688149846485836e-5,1
Pyrus bourgaeana,Apodemus/Mus,1.6944045071076835e-4,9.688149846485836e-5,1
Pyrus bourgaeana,Pica pica,1.6944045071076835e-4,9.688149846485836e-5,1
Pyrus bourgaeana,Sturnus unicolor,1.6944045071076835e-4,9.688149846485836e-5,1
Rubus ulmifolius,Dama dama,1.6944045071076835e-4,9.688149846485836e-5,1
Rubus ulmifolius,Turdus torquatus,1.0353475161907506e-4,9.688149846485836e-5,2
Lonicera periclymenum,Erithacus rubecula,1.679756160418537e-4,9.604394534733289e-5,1
Pistacia lentiscus,Cyanistes caeruleus,1.4026829793185722e-4,9.581336392226515e-5,2
Rhamnus lycioides,Muscicapa striata,1.6757234172004725e-4,9.581336392226515e-5,1
Rhamnus lycioides,Sturnus vulgaris/unicolor,1.6425718957460892e-4,9.391784897207595e-5,1
Frangula alnus,Fringilla coelebs,1.6261443976372083e-4,9.29785687552559e-5,1
Lonicera periclymenum,Oriolus oriolus,1.5643485383251015e-4,8.944524750642378e-5,1
Lonicera periclymenum,Sturnus vulgaris,1.5643485383251015e-4,8.944524750642378e-5,1
Rubia peregrina,Mus spretus,1.5643485383251015e-4,8.944524750642378e-5,1
Rubus ulmifolius,Alectoris rufa,1.5643485383251015e-4,8.944524750642378e-5,1
Smilax aspera,Sturnus unicolor,1.5643485383251015e-4,8.944524750642378e-5,1
Smilax aspera,Sturnus vulgaris,1.5643485383251015e-4,8.944524750642378e-5,1
Frangula alnus,Curruca communis,1.549522276493982e-4,8.859752167896886e-5,1
Daphne gnidium,Parus major,1.4647753638673014e-4,8.375192084923651e-5,1
Olea europaea,Turdus viscivorus,1.4647753638673014e-4,8.375192084923651e-5,1
Phillyrea angustifolia,Saxicola rubetra,1.4647753638673014e-4,8.375192084923651e-5,1
Olea europaea,Phoenicurus ochruros,1.3688197972962948e-4,7.826543929394826e-5,1
Ficus carica,Sylvia atricapilla,1.3469362348335622e-4,7.70141959726248e-5,1
Daphne gnidium,Erithacus rubecula,1.0478015761288911e-4,7.419635532216463e-5,2
Lonicera periclymenum,Curruca hortensis,1.2905964398753073e-4,7.379283782829608e-5,1
Lonicera periclymenum,Cyanopica cooki,1.2905964398753073e-4,7.379283782829608e-5,1
Phillyrea angustifolia,Chloris chloris,1.2476002805650603e-4,7.133443292867681e-5,1
Phillyrea angustifolia,Apodemus sylvaticus,1.2319437480713978e-4,7.043923445488442e-5,1
Olea europaea,Sylvia borin,1.1968944651026307e-4,6.843521059878097e-5,1
Asparagus spp,Turdus merula,1.1732910562674883e-4,6.708563108147274e-5,1
Osyris lanceolata,Phoenicurus phoenicurus,8.690561634929121e-5,6.708563108147274e-5,2
Rhamnus lycioides,Eliomys quercinus,1.1732910562674883e-4,6.708563108147274e-5,1
